,Q5,Q185,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q8_13,Q8_14,Q8_15,mean_score
0,"Team ID:
(example:TM000999)","Participant ID: 
(example: P000999)",,,,,,,,,,,,,,,,
1,"{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID606_TEXT""}",,,,,,,,,,,,,,,,
2,TM000001,P000104,3.0,3.0,4.0,4.0,7.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,6.0,2.0,3.2
3,TM000001,P000103- Alpha ,6.0,6.0,5.0,4.0,3.0,3.0,7.0,3.0,5.0,4.0,2.0,2.0,3.0,5.0,2.0,4.0
4,TM000001,P000105,4.0,5.0,6.0,5.0,3.0,4.0,7.0,5.0,7.0,3.0,4.0,3.0,2.0,6.0,4.0,4.533333333333333
5,TM000002,P000108,6.0,2.0,6.0,6.0,7.0,5.0,7.0,5.0,6.0,5.0,6.0,7.0,6.0,6.0,6.0,5.733333333333333
6,TM000002,P000107,2.0,2.0,2.0,1.0,1.0,2.0,2.0,5.0,4.0,1.0,2.0,2.0,2.0,1.0,3.0,2.1333333333333333
7,TM000002,P000106,6.0,3.0,6.0,6.0,6.0,3.0,5.0,3.0,5.0,3.0,3.0,5.0,3.0,5.0,3.0,4.333333333333333
8,TM000003,P000109,5.0,7.0,5.0,6.0,3.0,2.0,4.0,6.0,5.0,1.0,2.0,6.0,5.0,3.0,6.0,4.4
9,TM000003,P000110,6.0,6.0,4.0,5.0,2.0,4.0,4.0,5.0,6.0,6.0,5.0,5.0,6.0,3.0,5.0,4.8
10,TM000003,P000111,5.0,6.0,5.0,6.0,4.0,3.0,6.0,7.0,6.0,3.0,5.0,6.0,5.0,4.0,3.0,4.933333333333334
11,TM000004,P000114,6.0,4.0,4.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0,3.0,5.0,5.0,6.0,5.0,5.0
12,TM000004,P000113,5.0,6.0,6.0,6.0,7.0,3.0,3.0,5.0,5.0,5.0,3.0,2.0,6.0,4.0,7.0,4.866666666666666
13,TM000004,P000112,6.0,3.0,7.0,6.0,7.0,5.0,5.0,5.0,6.0,3.0,5.0,6.0,6.0,5.0,4.0,5.266666666666667
14,TM000005,P000116,6.0,6.0,7.0,7.0,7.0,6.0,7.0,6.0,6.0,6.0,4.0,7.0,7.0,6.0,6.0,6.266666666666667
15,TM000005,P000117,6.0,5.0,4.0,6.0,5.0,4.0,7.0,6.0,6.0,2.0,6.0,6.0,4.0,6.0,7.0,5.333333333333333
16,TM000005,P000115,3.0,3.0,1.0,2.0,4.0,3.0,5.0,5.0,3.0,2.0,1.0,5.0,4.0,2.0,4.0,3.1333333333333333
17,TM000006,P000120,5.0,5.0,5.0,4.0,3.0,1.0,2.0,3.0,3.0,5.0,1.0,2.0,3.0,4.0,3.0,3.2666666666666666
18,TM000006,TM000006,5.0,1.0,6.0,4.0,3.0,2.0,7.0,4.0,7.0,3.0,4.0,5.0,6.0,3.0,4.0,4.266666666666667
19,TM000006,P000118,5.0,4.0,6.0,6.0,3.0,1.0,2.0,4.0,5.0,4.0,4.0,6.0,4.0,3.0,4.0,4.066666666666666
